0000.png,A dog in a rock climbing gym
0003.png,A dog in a street art gallery
0006.png,A dog in a pharmacy
0014.png,A dog in a university dormitory
0015.png,A cat in a street festival
0018 (1).png,A dog in a wellness workshop
0018.png,A cat in a shipping port
0019.png,A cat in a neighborhood arts fair
0020.png,A dog in a contemporary dance performance
0023 (1).png,A dog in an alley
0023.png,A cat in a dog grooming salon
0026.png,A dog in a cosmetics counter
0028.png,A dog in a street art festival
0036.png,A cat in a carnival
0039.png,A cat in a seafood shack
0052.png,A fox in a cooking competition
0054.png,A cat in a hotel room
0055 (1).png,A fox in a historical landmark
0055.png,A dog in a cultural food festival
0074.png,A cat in a local bookshop
0085.png,A fox in a local farmers' market
0087.png,A cat in a cultural exhibition
0089.png,A cat in a car wash
0118.png,A fox in a video arcade
0141.png,A fox in a bell tower
0145.png,A fox in a cultural art exhibit
0169.png,A fox in a pottery shop
0179.png,A fox in a glass workshop
0202.png,A fox in a tea house
0206.png,A fox in a community art fair
2552.png,A wolf in a local jazz club
2560.png,A wolf in a racetrack
2563.png,A wolf in a summer music festival
2564.png,A wolf in a charity event
2568.png,A wolf in a boardwalk
2572.png,A wolf in a farmers' co-op shop
2573.png,A wolf in a community center
2574.png,A wolf in a loading dock
2575.png,A wolf in a health food cafe
2576.png,A wolf in a retro diner
2746.png,A tiger in a furniture showroom
2747.png,A tiger in a trade show booth
2750.png,A tiger in a suburban park
2756.png,A tiger in a hockey rink
2757.png,A tiger in a lecture hall
2759.png,A tiger in a bar
2774.png,A tiger in a therapy session
2785.png,A tiger in a poolside bar
2789.png,A tiger in a security office
2817.png,A tiger in a seasonal carnival
